Epoch(n),Time(sec),Loss,Accuracy,Val_Loss,Val_Accuracy 
1,16,"1,8799","0,3303","1,2005","0,4861"
2,13,"1,1344","0,5936","3,1685","0,3056"
3,13,"0,7966","0,7343","0,4823","0,7778"
4,13,"0,5984","0,8062","0,3","0,875"
5,13,"0,5289","0,8376","0,1631","0,9722"
6,13,"0,5044","0,8484","0,1207","0,9861"
7,13,"0,4186","0,8678","0,1373","0,9722"
8,15,"0,4136","0,8756","0,1385","0,9583"
9,16,"0,3662","0,8925","0,2371","0,9167"
10,13,"0,311","0,9028","0,2501","0,9444"
11,14,"0,3829","0,91","0,0847",1
12,13,"0,3006","0,9088","0,0644","0,9861"
13,13,"0,2997","0,9173","3,4903","0,5556"
14,13,"0,313","0,9082","0,1548","0,9444"
15,14,"0,3281","0,9179","0,065","0,9861"
16,15,"0,2257","0,9233","0,2307","0,9444"
17,14,"0,2727","0,9251","0,0313",1
18,13,"0,2568","0,9239","0,1089","0,9722"
19,14,"0,2359","0,9312","0,0251",1
20,14,"0,2874","0,9336","0,0198",1
21,14,"0,2502","0,9402","2,2352","0,6944"
22,14,"0,2744","0,9293","0,0245",1
23,14,"0,2826","0,9324","0,0246",1
24,13,"0,282","0,9372","0,0052",1
25,13,"0,2081","0,9402","0,0199",1
26,13,"0,1835","0,9487","0,7124","0,9306"
27,13,"0,2252","0,9487","0,0116",1
28,13,"0,2491","0,9372","0,0144",1
29,13,"0,2334","0,936","0,3497","0,8889"
30,13,"0,2678","0,9366","0,0291",1
31,13,"0,2336","0,9475","0,0051",1
32,13,"0,2347","0,945","0,1989","0,9444"
33,13,"0,2904","0,9475","0,2486","0,9444"
34,13,"0,2074","0,9475","0,0957","0,9444"
35,13,"0,1784","0,9595","0,0274","0,9861"
36,13,"0,2141","0,9547","0,0083",1
37,13,"0,2574","0,9475","0,0663","0,9722"
38,14,"0,1726","0,9529","0,5722","0,9167"
39,14,"0,2933","0,9475","0,012",1
40,14,"0,1914","0,9583","0,012",1
41,14,"0,1944","0,9523","0,084","0,9722"
42,14,"0,1733","0,9583","0,0073",1
43,14,"0,26","0,9583","0,0013",1
44,13,"0,2029","0,9553","0,0226",1
45,13,"0,272","0,9487","0,6745","0,9444"
46,13,"0,3087","0,9535","0,295","0,9444"
47,13,"0,2984","0,9517","0,1638","0,9722"
48,14,"0,3042","0,9481","0,1175","0,9583"
49,14,"0,2731","0,9541","0,0932","0,9583"
50,13,"0,2086","0,9505","0,0043",1
51,13,"0,2252","0,9523","0,159","0,9444"
52,13,"0,2653","0,9571","0,03","0,9861"
53,13,"0,2763","0,9589","0,1195","0,9583"
54,13,"0,1937","0,9547","0,019",1
55,14,"0,2104","0,9589","0,0099",1
56,13,"0,245","0,9541","0,0438","0,9861"
57,13,"0,2756","0,962","0,0506","0,9861"
58,13,"0,2862","0,9559","0,0083",1
59,13,"0,19","0,9638","0,1736","0,9722"
60,13,"0,2118","0,9541","0,0715","0,9583"
61,13,"0,1808","0,9511","0,2045","0,9722"
62,13,"0,2391","0,9535","0,0074",1
63,13,"0,1726","0,9565","0,272","0,9306"
64,13,"0,2063","0,9614","0,1262","0,9722"
